Family;ScientificName;Author;Collector;centroid_Longitude;centroid_Latitude;Elevation;Date;Location;Description;Herbarium;wfoMeta_scientificName;wfoMeta_family;wfoMeta_majorGroup;wfoMeta_wfoID;wfoMeta_rank;wfoMeta_status;wfoMeta_author;gbifOccurrenceCheck;popup;spaced_Longitude;spaced_Latitude;Source;Page;rid
Acanthaceae;Asystasia gangetica subsp. micrantha;(Nees) Ensermu;H.Balslev 10244;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;NA;Aarhus;Asystasia gangetica subsp. micrantha;Acanthaceae;Angiosperm;wfo-0000555199;subspecies;Accepted;(Nees) Ensermu;TRUE;"<ul>
	<li>Species  : <i>Asystasia gangetica subsp. micrantha</i> (Nees) Ensermu</li>
	<li>Family   : Acanthaceae</li>
	<li>Author   : (Nees) Ensermu</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,293611111111;12,0650000000000;NA;NA;1
Acanthaceae;Justicia kampotiana;Benoist;H.Balslev 10236;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay.;NA;Aarhus;Justicia kampotiana;Acanthaceae;Angiosperm;wfo-0001239102;species;Accepted;Benoist;TRUE;"<ul>
	<li>Species  : <i>Justicia kampotiana</i> Benoist</li>
	<li>Family   : Acanthaceae</li>
	<li>Author   : Benoist</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-07-12</li>
	<li>Source   : AAU</li>
</ul>";102,422222222222;11,9669444444444;NA;NA;2
Acanthaceae;Ruellia repens;L.;H.Balslev 10136;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall.;NA;Aarhus;Ruellia repens;Acanthaceae;Angiosperm;wfo-0001221021;species;Accepted;L.;TRUE;"<ul>
	<li>Species  : <i>Ruellia repens</i> L.</li>
	<li>Family   : Acanthaceae</li>
	<li>Author   : L.</li>
	<li>Elevation: 26</li>
	<li>Date     : 2022-07-06</li>
	<li>Source   : AAU</li>
</ul>";102,326944444444;11,9827777777778;NA;NA;3
Acanthaceae;Thunbergia fragrans;Roxb.;H.Balslev 10702;102,422500000000;11,9647222222222;10;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island. Near beach.;NA;Aarhus;Thunbergia fragrans;Acanthaceae;Angiosperm;wfo-0000409985;species;Accepted;Roxb.;TRUE;"<ul>
	<li>Species  : <i>Thunbergia fragrans</i> Roxb.</li>
	<li>Family   : Acanthaceae</li>
	<li>Author   : Roxb.</li>
	<li>Elevation: 10</li>
	<li>Date     : 2022-10-21</li>
	<li>Source   : AAU</li>
</ul>";102,422500000000;11,9647222222222;NA;NA;4
Amaranthaceae;Gomphrena celosioides;Mart.;H.Balslev 10210;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;NA;Aarhus;Gomphrena celosioides;Amaranthaceae;Angiosperm;wfo-0000705896;species;Accepted;Mart.;TRUE;"<ul>
	<li>Species  : <i>Gomphrena celosioides</i> Mart.</li>
	<li>Family   : Amaranthaceae</li>
	<li>Author   : Mart.</li>
	<li>Elevation: 0</li>
	<li>Date     : 2022-07-10</li>
	<li>Source   : AAU</li>
</ul>";102,388055555556;12,0211111111111;NA;NA;5
Anacardiaceae;Buchanania arborescens;(Blume) Blume;H.Balslev 10681;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;NA;Aarhus;Buchanania arborescens;Anacardiaceae;Angiosperm;wfo-0000573371;species;Accepted;Blume;TRUE;"<ul>
	<li>Species  : <i>Buchanania arborescens</i> Blume</li>
	<li>Family   : Anacardiaceae</li>
	<li>Author   : (Blume) Blume</li>
	<li>Elevation: 60</li>
	<li>Date     : 2022-10-21</li>
	<li>Source   : AAU</li>
</ul>";102,426944444444;11,9619444444444;NA;NA;6
Anacardiaceae;Gluta laccifera;(Pierre) Ding Hou;H.Balslev 10739;102,413055555556;11,9680555555556;40;2022-10-22;Road to Memorial of the Battle of Koh Chang.;NA;Aarhus;Gluta laccifera;Anacardiaceae;Angiosperm;wfo-0000704303;species;Accepted;(Pierre) Ding Hou;TRUE;"<ul>
	<li>Species  : <i>Gluta laccifera</i> (Pierre) Ding Hou</li>
	<li>Family   : Anacardiaceae</li>
	<li>Author   : (Pierre) Ding Hou</li>
	<li>Elevation: 40</li>
	<li>Date     : 2022-10-22</li>
	<li>Source   : AAU</li>
</ul>";102,413055555556;11,9680555555556;NA;NA;7
Annonaceae;Artabotrys siamensis;Miq.;H.Balslev 10122;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road.;NA;Aarhus;Artabotrys siamensis;Annonaceae;Angiosperm;wfo-0000549858;species;Accepted;Miq.;TRUE;"<ul>
	<li>Species  : <i>Artabotrys siamensis</i> Miq.</li>
	<li>Family   : Annonaceae</li>
	<li>Author   : Miq.</li>
	<li>Elevation: 46</li>
	<li>Date     : 2022-07-05</li>
	<li>Source   : AAU</li>
</ul>";102,276111111111;12,0936111111111;NA;NA;8
Annonaceae;Dasymaschalon dasymaschalum;(Blume) I.M.Turner;H.Balslev 10087;102,267777777778;12,1211111111111;73;2022-07-02;northern west coast just south of NPHQ.;NA;Aarhus;Dasymaschalon dasymaschalum;Annonaceae;Angiosperm;wfo-0000506972;species;Accepted;(Blume) I.M.Turner;TRUE;"<ul>
	<li>Species  : <i>Dasymaschalon dasymaschalum</i> (Blume) I.M.Turner</li>
	<li>Family   : Annonaceae</li>
	<li>Author   : (Blume) I.M.Turner</li>
	<li>Elevation: 73</li>
	<li>Date     : 2022-07-02</li>
	<li>Source   : AAU</li>
</ul>";102,267777777778;12,1211111111111;NA;NA;9
Annonaceae;Dasymaschalon dasymaschalum;(Blume) I.M.Turner;H.Balslev 10143;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall.;NA;Aarhus;Dasymaschalon dasymaschalum;Annonaceae;Angiosperm;wfo-0000506972;species;Accepted;(Blume) I.M.Turner;TRUE;"<ul>
	<li>Species  : <i>Dasymaschalon dasymaschalum</i> (Blume) I.M.Turner</li>
	<li>Family   : Annonaceae</li>
	<li>Author   : (Blume) I.M.Turner</li>
	<li>Elevation: 26</li>
	<li>Date     : 2022-07-06</li>
	<li>Source   : AAU</li>
</ul>";102,326944444444;11,9827777777778;NA;NA;10
