Family;ScientificName;Author;Collector;Longitude;Latitude;Elevation;Date;Location;Herbarium;ID;wfoMeta_scientificName;wfoMeta_family;wfoMeta_majorGroup;wfoMeta_wfoID;wfoMeta_rank;wfoMeta_status;wfoMeta_author;gbifOccurrenceCheck
Acanthaceae;Asystasia gangetica subsp. micrantha;(Nees) Ensermu;H.Balslev 10244;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;1;Asystasia gangetica subsp. micrantha;Acanthaceae;Angiosperm;wfo-0000555199;subspecies;Accepted;(Nees) Ensermu;TRUE
Acanthaceae;Justicia kampotiana;Benoist;H.Balslev 10236;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay.;AAU;2;Justicia kampotiana;Acanthaceae;Angiosperm;wfo-0001239102;species;Accepted;Benoist;TRUE
Acanthaceae;Ruellia repens;L.;H.Balslev 10136;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall.;AAU;3;Ruellia repens;Acanthaceae;Angiosperm;wfo-0001221021;species;Accepted;L.;TRUE
Acanthaceae;Thunbergia fragrans;Roxb.;H.Balslev 10702;102,422500000000;11,9647222222222;10;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island. Near beach.;AAU;4;Thunbergia fragrans;Acanthaceae;Angiosperm;wfo-0000409985;species;Accepted;Roxb.;TRUE
Amaranthaceae;Gomphrena celosioides;Mart.;H.Balslev 10210;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;5;Gomphrena celosioides;Amaranthaceae;Angiosperm;wfo-0000705896;species;Accepted;Mart.;TRUE
Anacardiaceae;Buchanania arborescens;(Blume) Blume;H.Balslev 10681;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;6;Buchanania arborescens;Anacardiaceae;Angiosperm;wfo-0000573371;species;Accepted;Blume;TRUE
Anacardiaceae;Gluta laccifera;(Pierre) Ding Hou;H.Balslev 10739;102,413055555556;11,9680555555556;40;2022-10-22;Road to Memorial of the Battle of Koh Chang.;AAU;7;Gluta laccifera;Anacardiaceae;Angiosperm;wfo-0000704303;species;Accepted;(Pierre) Ding Hou;TRUE
Annonaceae;Artabotrys siamensis;Miq.;H.Balslev 10122;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road.;AAU;8;Artabotrys siamensis;Annonaceae;Angiosperm;wfo-0000549858;species;Accepted;Miq.;TRUE
Annonaceae;Dasymaschalon dasymaschalum;(Blume) I.M.Turner;H.Balslev 10087;102,267777777778;12,1211111111111;73;2022-07-02;northern west coast just south of NPHQ.;AAU;9;Dasymaschalon dasymaschalum;Annonaceae;Angiosperm;wfo-0000506972;species;Accepted;(Blume) I.M.Turner;TRUE
Annonaceae;Dasymaschalon dasymaschalum;(Blume) I.M.Turner;H.Balslev 10143;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall.;AAU;10;Dasymaschalon dasymaschalum;Annonaceae;Angiosperm;wfo-0000506972;species;Accepted;(Blume) I.M.Turner;TRUE
Annonaceae;Uvaria littoralis;(Blume) Blume;H.Balslev 10146;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall.;AAU;11;Uvaria littoralis;Annonaceae;Angiosperm;wfo-0000416343;species;Accepted;Blume;TRUE
Annonaceae;Uvaria micrantha;(A. Dc.) Hook. f. & Thomson;H.Balslev 10144;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;12;Uvaria micrantha;Annonaceae;Angiosperm;wfo-0000416484;species;Accepted;Hook.f. & Thomson;TRUE
Apocynaceae;Cryptolepis sinensis;(Lour.) Merr.;H.Balslev 10125;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road. Tropical wet forest.;AAU;13;Cryptolepis sinensis;Apocynaceae;Angiosperm;wfo-0000628388;species;Accepted;(Lour.) Merr.;TRUE
Apocynaceae;Pottsia laxiflora;(Blume) Kuntze;H.Balslev 10149;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;14;Pottsia laxiflora;Apocynaceae;Angiosperm;wfo-0000281492;species;Accepted;Kuntze;TRUE
Apocynaceae;Spirolobium cambodianum;Baill.;H.Balslev 10232;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;15;Spirolobium cambodianum;Apocynaceae;Angiosperm;wfo-0000313531;species;Accepted;Baill.;TRUE
